cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,969-3121,Machihigashi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3121,Ohitekawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Kakita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Gagita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Aramachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Sakashita,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Machijiri,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Tsukata,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3122,Motomachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3123,Kojoato,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3123,Tsuruta,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3123,Shirominami,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3123,Kojomachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3131,Nishidate,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3131,Muraminami,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3131,Kamiyashiki,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3131,Higashiyachi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3131,Shimozono,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3131,Imaizumi,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3131,Shimborimukai,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.8039,140.632,3
JP,969-3132,Katada,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5371,140.1062,4
JP,969-3133,Chiyoda,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6705,140.3691,1
JP,969-3141,Rokkaku,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3141,Iwasato,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.436,140.4742,1
JP,969-3281,Nishihayama,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
JP,969-3282,Sanshozawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
JP,969-3283,Osada,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
JP,969-3284,Mitsuwa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5461,140.0707,4
JP,969-3285,Okinazawa,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
JP,969-3286,Iwane,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.6286,139.968,4
JP,969-3287,Fudo,Fukushima Ken,8,Yama Gun,1848677.0,Inawashiro Machi,7408.0,37.5167,140.2035,1
